adduser	3.118ubuntu5
libboost-all-dev	1.74.0.3ubuntu7
libboost-atomic-dev:amd64	1.74.0.3ubuntu7
libboost-atomic1.74-dev:amd64	1.74.0-14ubuntu3
libboost-atomic1.74.0:amd64	1.74.0-14ubuntu3
libboost-chrono-dev:amd64	1.74.0.3ubuntu7
libboost-chrono1.74-dev:amd64	1.74.0-14ubuntu3
libboost-chrono1.74.0:amd64	1.74.0-14ubuntu3
libboost-container-dev:amd64	1.74.0.3ubuntu7
libboost-container1.74-dev:amd64	1.74.0-14ubuntu3
libboost-container1.74.0:amd64	1.74.0-14ubuntu3
libboost-context-dev:amd64	1.74.0.3ubuntu7
libboost-context1.74-dev:amd64	1.74.0-14ubuntu3
libboost-context1.74.0:amd64	1.74.0-14ubuntu3
libboost-coroutine-dev:amd64	1.74.0.3ubuntu7
libboost-coroutine1.74-dev:amd64	1.74.0-14ubuntu3
libboost-coroutine1.74.0:amd64	1.74.0-14ubuntu3
libboost-date-time-dev:amd64	1.74.0.3ubuntu7
libboost-date-time1.74-dev:amd64	1.74.0-14ubuntu3
libboost-date-time1.74.0:amd64	1.74.0-14ubuntu3
libboost-dev:amd64	1.74.0.3ubuntu7
libboost-exception-dev:amd64	1.74.0.3ubuntu7
libboost-exception1.74-dev:amd64	1.74.0-14ubuntu3
libboost-fiber-dev:amd64	1.74.0.3ubuntu7
libboost-fiber1.74-dev:amd64	1.74.0-14ubuntu3
libboost-fiber1.74.0:amd64	1.74.0-14ubuntu3
libboost-filesystem-dev:amd64	1.74.0.3ubuntu7
libboost-filesystem1.74-dev:amd64	1.74.0-14ubuntu3
libboost-filesystem1.74.0:amd64	1.74.0-14ubuntu3
libboost-graph-dev:amd64	1.74.0.3ubuntu7
libboost-graph-parallel-dev	1.74.0.3ubuntu7
libboost-graph-parallel1.74-dev	1.74.0-14ubuntu3
libboost-graph-parallel1.74.0	1.74.0-14ubuntu3
libboost-graph1.74-dev:amd64	1.74.0-14ubuntu3
libboost-graph1.74.0:amd64	1.74.0-14ubuntu3
libboost-iostreams-dev:amd64	1.74.0.3ubuntu7
libboost-iostreams1.74-dev:amd64	1.74.0-14ubuntu3
libboost-iostreams1.74.0:amd64	1.74.0-14ubuntu3
libboost-locale-dev:amd64	1.74.0.3ubuntu7
libboost-locale1.74-dev:amd64	1.74.0-14ubuntu3
libboost-locale1.74.0:amd64	1.74.0-14ubuntu3
libboost-log-dev	1.74.0.3ubuntu7
libboost-log1.74-dev	1.74.0-14ubuntu3
libboost-log1.74.0	1.74.0-14ubuntu3
libboost-math-dev:amd64	1.74.0.3ubuntu7
libboost-math1.74-dev:amd64	1.74.0-14ubuntu3
libboost-math1.74.0:amd64	1.74.0-14ubuntu3
libboost-mpi-dev	1.74.0.3ubuntu7
libboost-mpi-python-dev	1.74.0.3ubuntu7
libboost-mpi-python1.74-dev	1.74.0-14ubuntu3
libboost-mpi-python1.74.0	1.74.0-14ubuntu3
libboost-mpi1.74-dev	1.74.0-14ubuntu3
libboost-mpi1.74.0	1.74.0-14ubuntu3
libboost-nowide-dev	1.74.0.3ubuntu7
libboost-nowide1.74-dev	1.74.0-14ubuntu3
libboost-nowide1.74.0	1.74.0-14ubuntu3
libboost-numpy-dev	1.74.0.3ubuntu7
libboost-numpy1.74-dev	1.74.0-14ubuntu3
libboost-numpy1.74.0	1.74.0-14ubuntu3
libboost-program-options-dev:amd64	1.74.0.3ubuntu7
libboost-program-options1.74-dev:amd64	1.74.0-14ubuntu3
libboost-program-options1.74.0:amd64	1.74.0-14ubuntu3
libboost-python-dev	1.74.0.3ubuntu7
libboost-python1.74-dev	1.74.0-14ubuntu3
libboost-python1.74.0	1.74.0-14ubuntu3
libboost-random-dev:amd64	1.74.0.3ubuntu7
libboost-random1.74-dev:amd64	1.74.0-14ubuntu3
libboost-random1.74.0:amd64	1.74.0-14ubuntu3
libboost-regex-dev:amd64	1.74.0.3ubuntu7
libboost-regex1.74-dev:amd64	1.74.0-14ubuntu3
libboost-regex1.74.0:amd64	1.74.0-14ubuntu3
libboost-serialization-dev:amd64	1.74.0.3ubuntu7
libboost-serialization1.74-dev:amd64	1.74.0-14ubuntu3
libboost-serialization1.74.0:amd64	1.74.0-14ubuntu3
libboost-stacktrace-dev:amd64	1.74.0.3ubuntu7
libboost-stacktrace1.74-dev:amd64	1.74.0-14ubuntu3
libboost-stacktrace1.74.0:amd64	1.74.0-14ubuntu3
libboost-system-dev:amd64	1.74.0.3ubuntu7
libboost-system1.74-dev:amd64	1.74.0-14ubuntu3
libboost-system1.74.0:amd64	1.74.0-14ubuntu3
libboost-test-dev:amd64	1.74.0.3ubuntu7
libboost-test1.74-dev:amd64	1.74.0-14ubuntu3
libboost-test1.74.0:amd64	1.74.0-14ubuntu3
libboost-thread-dev:amd64	1.74.0.3ubuntu7
libboost-thread1.74-dev:amd64	1.74.0-14ubuntu3
libboost-thread1.74.0:amd64	1.74.0-14ubuntu3
libboost-timer-dev:amd64	1.74.0.3ubuntu7
libboost-timer1.74-dev:amd64	1.74.0-14ubuntu3
libboost-timer1.74.0:amd64	1.74.0-14ubuntu3
libboost-tools-dev	1.74.0.3ubuntu7
libboost-type-erasure-dev:amd64	1.74.0.3ubuntu7
libboost-type-erasure1.74-dev:amd64	1.74.0-14ubuntu3
libboost-type-erasure1.74.0:amd64	1.74.0-14ubuntu3
libboost-wave-dev:amd64	1.74.0.3ubuntu7
libboost-wave1.74-dev:amd64	1.74.0-14ubuntu3
libboost-wave1.74.0:amd64	1.74.0-14ubuntu3
libboost1.74-dev:amd64	1.74.0-14ubuntu3
libboost1.74-tools-dev	1.74.0-14ubuntu3
libbrotli1:amd64	1.0.9-2build6
libbsd0:amd64	0.11.5-1
libbz2-1.0:amd64	1.0.8-5ubuntu0.1
libc-bin	2.35-0ubuntu3.13
libc-dev-bin	2.35-0ubuntu3.15
libc6:amd64	2.35-0ubuntu3.15
libc6-dev:amd64	2.35-0ubuntu3.15
libcap-ng0:amd64	0.7.9-2.2build3
libcap2:amd64	1:2.44-1ubuntu0.22.04.3
libcbor0.8:amd64	0.8.0-2ubuntu1
libcc1-0:amd64	12.3.0-1ubuntu1~22.04.3
libcom-err2:amd64	1.46.5-2ubuntu1.2
libcrypt-dev:amd64	1:4.4.27-1
libcrypt1:amd64	1:4.4.27-1
libctf-nobfd0:amd64	2.38-4ubuntu2.12
libctf0:amd64	2.38-4ubuntu2.12
libcurl3-gnutls:amd64	7.81.0-1ubuntu1.27
libcurl4:amd64	7.81.0-1ubuntu1.27
libcurl4-openssl-dev:amd64	7.81.0-1ubuntu1.27
libdb5.3:amd64	5.3.28+dfsg1-0.8ubuntu3
libdebconfclient0:amd64	0.261ubuntu1
libdpkg-perl	1.21.1ubuntu2.6
libedit2:amd64	3.1-20210910-1build1
libeigen3-dev	3.4.0-2ubuntu2
liberror-perl	0.17029-1
libevent-2.1-7:amd64	2.1.12-stable-1ubuntu0.1
libevent-core-2.1-7:amd64	2.1.12-stable-1ubuntu0.1
libevent-dev	2.1.12-stable-1ubuntu0.1
libevent-extra-2.1-7:amd64	2.1.12-stable-1ubuntu0.1
libevent-openssl-2.1-7:amd64	2.1.12-stable-1ubuntu0.1
libevent-pthreads-2.1-7:amd64	2.1.12-stable-1ubuntu0.1
libexpat1:amd64	2.4.7-1ubuntu0.7
libexpat1-dev:amd64	2.4.7-1ubuntu0.7
libext2fs2:amd64	1.46.5-2ubuntu1.2
libfabric1:amd64	1.11.0-3
libffi8:amd64	3.4.2-4
libfido2-1:amd64	1.10.0-1
libgcc-11-dev:amd64	11.4.0-1ubuntu1~22.04.3
libgcc-s1:amd64	12.3.0-1ubuntu1~22.04.3
libgcrypt20:amd64	1.9.4-3ubuntu3
libgdbm-compat4:amd64	1.23-1
libgdbm6:amd64	1.23-1
libgfortran-11-dev:amd64	11.4.0-1ubuntu1~22.04.3
libgfortran5:amd64	12.3.0-1ubuntu1~22.04.3
libglib2.0-0:amd64	2.72.4-0ubuntu2.9
libgmp10:amd64	2:6.2.1+dfsg-3ubuntu1
libgnutls30:amd64	3.7.3-4ubuntu1.8
libgomp1:amd64	12.3.0-1ubuntu1~22.04.3
libgpg-error0:amd64	1.43-3
libgssapi-krb5-2:amd64	1.19.2-2ubuntu0.7
libhogweed6:amd64	3.7.3-1build2
libhwloc-dev:amd64	2.7.0-2ubuntu1
libhwloc-plugins:amd64	2.7.0-2ubuntu1
libhwloc15:amd64	2.7.0-2ubuntu1
libibverbs-dev:amd64	39.0-1
libibverbs1:amd64	39.0-1
libicu-dev:amd64	70.1-2
libicu70:amd64	70.1-2
libidn2-0:amd64	2.3.2-2build1
libisl23:amd64	0.24-2build1
libitm1:amd64	12.3.0-1ubuntu1~22.04.3
libjs-jquery	3.6.0+dfsg+~3.5.13-1
libjs-jquery-ui	1.13.1+dfsg-1
libjs-sphinxdoc	4.3.2-1
libjs-underscore	1.13.2~dfsg-2
libjsoncpp25:amd64	1.9.5-3
libk5crypto3:amd64	1.19.2-2ubuntu0.7
libkeyutils1:amd64	1.6.1-2ubuntu3
libkrb5-3:amd64	1.19.2-2ubuntu0.7
libkrb5support0:amd64	1.19.2-2ubuntu0.7
libldap-2.5-0:amd64	2.5.20+dfsg-0ubuntu0.22.04.1
liblsan0:amd64	12.3.0-1ubuntu1~22.04.3
libltdl-dev:amd64	2.4.6-15build2
libltdl7:amd64	2.4.6-15build2
liblz4-1:amd64	1.9.3-2build2
liblzma5:amd64	5.2.5-2ubuntu1
libmd0:amd64	1.0.4-1build1
libmount1:amd64	2.37.2-4ubuntu3.5
libmpc3:amd64	1.2.1-2build1
libmpdec3:amd64	2.5.1-2build2
libmpfr6:amd64	4.1.0-3build3
libncurses6:amd64	6.3-2ubuntu0.1
libncursesw6:amd64	6.3-2ubuntu0.1
libnettle8:amd64	3.7.3-1build2
libnghttp2-14:amd64	1.43.0-1ubuntu0.4
libnl-3-200:amd64	3.5.0-0.1
libnl-3-dev:amd64	3.5.0-0.1
libnl-route-3-200:amd64	3.5.0-0.1
libnl-route-3-dev:amd64	3.5.0-0.1
libnsl-dev:amd64	1.3.0-2build2
libnsl2:amd64	1.3.0-2build2
libnuma-dev:amd64	2.0.14-3ubuntu2
libnuma1:amd64	2.0.14-3ubuntu2
libopenblas-dev:amd64	0.3.20+ds-1
libopenblas-pthread-dev:amd64	0.3.20+ds-1
libopenblas0:amd64	0.3.20+ds-1
libopenblas0-pthread:amd64	0.3.20+ds-1
libopenmpi-dev:amd64	4.1.2-2ubuntu1
libopenmpi3:amd64	4.1.2-2ubuntu1
libp11-kit0:amd64	0.24.0-6build1
libpam-modules:amd64	1.4.0-11ubuntu2.6
libpam-modules-bin	1.4.0-11ubuntu2.6
libpam-runtime	1.4.0-11ubuntu2.6
libpam0g:amd64	1.4.0-11ubuntu2.6
libpciaccess0:amd64	0.16-3
libpcre2-8-0:amd64	10.39-3ubuntu0.1
libpcre3:amd64	2:8.39-13ubuntu0.22.04.1
libperl5.34:amd64	5.34.0-3ubuntu1.9
libpmix-dev:amd64	4.1.2-2ubuntu1
libpmix2:amd64	4.1.2-2ubuntu1
libprocps8:amd64	2:3.3.17-6ubuntu2.1
libpsl5:amd64	0.21.0-1.2build2
libpsm-infinipath1	3.3+20.604758e7-6.1
libpsm2-2	11.2.185-1
libpython3-dev:amd64	3.10.6-1~22.04.1
libpython3-stdlib:amd64	3.10.6-1~22.04.1
libpython3.10:amd64	3.10.12-1~22.04.18
libpython3.10-dev:amd64	3.10.12-1~22.04.18
libpython3.10-minimal:amd64	3.10.12-1~22.04.18
libpython3.10-stdlib:amd64	3.10.12-1~22.04.18
libquadmath0:amd64	12.3.0-1ubuntu1~22.04.3
librdmacm1:amd64	39.0-1
libreadline8:amd64	8.1.2-1
librhash0:amd64	1.4.2-1ubuntu1
librtmp1:amd64	2.4+20151223.gitfa8646d.1-2build4
libsasl2-2:amd64	2.1.27+dfsg2-3ubuntu1.2
libsasl2-modules-db:amd64	2.1.27+dfsg2-3ubuntu1.2
libseccomp2:amd64	2.5.3-2ubuntu3~22.04.1
libselinux1:amd64	3.3-1build2
libsemanage-common	3.3-1build2
libsemanage2:amd64	3.3-1build2
libsepol2:amd64	3.3-1build1
libsigsegv2:amd64	2.13-1ubuntu3
libsmartcols1:amd64	2.37.2-4ubuntu3.5
libsqlite3-0:amd64	3.37.2-2ubuntu0.7
libss2:amd64	1.46.5-2ubuntu1.2
libssh-4:amd64	0.9.6-2ubuntu0.22.04.8
libssl-dev:amd64	3.0.2-0ubuntu1.29
libssl3:amd64	3.0.2-0ubuntu1.29
libstdc++-11-dev:amd64	11.4.0-1ubuntu1~22.04.3
libstdc++6:amd64	12.3.0-1ubuntu1~22.04.3
libsystemd0:amd64	249.11-0ubuntu3.20
libtasn1-6:amd64	4.18.0-4ubuntu0.2
libtinfo6:amd64	6.3-2ubuntu0.1
libtirpc-common	1.3.2-2ubuntu0.1
libtirpc-dev:amd64	1.3.2-2ubuntu0.1
libtirpc3:amd64	1.3.2-2ubuntu0.1
libtsan0:amd64	11.4.0-1ubuntu1~22.04.3
libubsan1:amd64	12.3.0-1ubuntu1~22.04.3
libucx0:amd64	1.12.1~rc2-1
libudev1:amd64	249.11-0ubuntu3.20
libunistring2:amd64	1.0-1
libuuid1:amd64	2.37.2-4ubuntu3.5
libuv1:amd64	1.43.0-1ubuntu0.1
libx11-6:amd64	2:1.7.5-1ubuntu0.3
libx11-data	2:1.7.5-1ubuntu0.3
libxau6:amd64	1:1.0.9-1build5
libxcb1:amd64	1.14-3ubuntu3
libxdmcp6:amd64	1:1.1.3-0ubuntu5
libxext6:amd64	2:1.3.4-1build1
libxml2:amd64	2.9.13+dfsg-1ubuntu0.12
libxnvctrl0:amd64	510.47.03-0ubuntu1.22.04.1
libxxhash0:amd64	0.8.1-1
libzstd1:amd64	1.4.8+dfsg-3build1
linux-libc-dev:amd64	5.15.0-191.201
login	1:4.8.1-2ubuntu2.2
logsave	1.46.5-2ubuntu1.2
lsb-base	11.1.0ubuntu4
lto-disabled-list	24
m4	1.4.18-5ubuntu2
make	4.3-4.1build1
mawk	1.3.4.20200120-3
media-types	7.0.0
mount	2.37.2-4ubuntu3.5
mpi-default-bin	1.14
mpi-default-dev	1.14
ncurses-base	6.3-2ubuntu0.1
ncurses-bin	6.3-2ubuntu0.1
ninja-build	1.10.1-1
ocl-icd-libopencl1:amd64	2.2.14-3
openmpi-bin	4.1.2-2ubuntu1
openmpi-common	4.1.2-2ubuntu1
openssh-client	1:8.9p1-3ubuntu0.17
openssl	3.0.2-0ubuntu1.29
passwd	1:4.8.1-2ubuntu2.2
patch	2.7.6-7build2
perl	5.34.0-3ubuntu1.9
perl-base	5.34.0-3ubuntu1.9
perl-modules-5.34	5.34.0-3ubuntu1.9
pkg-config	0.29.2-1ubuntu3
procps	2:3.3.17-6ubuntu2.1
python3	3.10.6-1~22.04.1
python3-dev	3.10.6-1~22.04.1
python3-distutils	3.10.8-1~22.04
python3-lib2to3	3.10.8-1~22.04
python3-minimal	3.10.6-1~22.04.1
python3-pip	22.0.2+dfsg-1ubuntu0.7
python3-pip-whl	22.0.2+dfsg-1ubuntu0.7
python3-pkg-resources	59.6.0-1.2ubuntu0.22.04.3
python3-setuptools	59.6.0-1.2ubuntu0.22.04.3
python3-setuptools-whl	59.6.0-1.2ubuntu0.22.04.3
python3-venv	3.10.6-1~22.04.1
python3-wheel	0.37.1-2ubuntu0.22.04.1
python3.10	3.10.12-1~22.04.18
python3.10-dev	3.10.12-1~22.04.18
python3.10-minimal	3.10.12-1~22.04.18
python3.10-venv	3.10.12-1~22.04.18
readline-common	8.1.2-1
rpcsvc-proto	1.4.2-0ubuntu6
sed	4.8-1ubuntu2.1
sensible-utils	0.0.17
sysvinit-utils	3.01-1ubuntu1
tar	1.34+dfsg-1ubuntu0.1.22.04.2
ubuntu-keyring	2021.03.26
unzip	6.0-26ubuntu3.2
usrmerge	25ubuntu2
util-linux	2.37.2-4ubuntu3.5
xz-utils	5.2.5-2ubuntu1.1
zlib1g:amd64	1:1.2.11.dfsg-2ubuntu9.2
zlib1g-dev:amd64	1:1.2.11.dfsg-2ubuntu9.2
